"depth_1m","vol.inc","area_1m","lake","cumvol","vol_1m","area.inc","inc","alpha"
51,888258.900563205,903447.131952346,"st",111523905.273276,10888272.7438701,30376.4627782819,"51 - 52",0.0341977578372944
52,857813.140805076,873070.669174064,"st",111523905.273276,10000013.8433069,30515.0567379763,"52 - 53",0.0355730814630996
53,827196.796679974,842555.612436088,"st",111523905.273276,9142200.70250181,30717.6315122282,"53 - 54",0.037134611298685
54,796342.174271024,811837.98092386,"st",111523905.273276,8315003.90582184,30991.6133056718,"54 - 55",0.0389174582321246
55,765173.137115643,780846.367618188,"st",111523905.273276,7518661.73155082,31346.4610050892,"55 - 56",0.0409664943587163
56,733602.746315818,749499.906613099,"st",111523905.273276,6753488.59443517,31794.3205945608,"56 - 57",0.0433399694238239
57,701530.102126363,717705.586018538,"st",111523905.273276,6019885.84811936,32350.9677843502,"57 - 58",0.0461148676105177
58,668836.018235561,685354.618234188,"st",111523905.273276,5318355.74599299,33037.1999972537,"58 - 59",0.0493950670964287
59,635376.941863957,652317.418236934,"st",111523905.273276,4649519.72775743,33880.9527459535,"59 - 60",0.0533241773718755
60,600976.15049655,618436.465490981,"st",111523905.273276,4014142.78589347,34920.6299888609,"60 - 61",0.0581065154748789
61,565410.553344829,583515.83550212,"st",111523905.273276,3413166.63539692,36210.5643145808,"61 - 62",0.0640429579893194
