"Depth_m","T_C","Salinity","Cond_uScm","EC25_uScm","Density_kgm3","Chla_ugL","Turbidity_FTU","DO_pc","DO_mgL","Lake"
22.6,8.919,0.214,0.3075,475.904,1000.065,2.01,2.77,0.06,0.007,"Sc"
22.7,8.909,0.214,0.3076,476.111,1000.067,1.99,2.78,0.06,0.007,"Sc"
22.8,8.899,0.214,0.3076,476.294,1000.068,2.01,2.77,0.07,0.008,"Sc"
22.9,8.895,0.214,0.3076,476.421,1000.069,2.03,2.84,0.07,0.008,"Sc"
23,8.89,0.214,0.3076,476.471,1000.07,2.01,2.78,0.07,0.008,"Sc"
23.1,8.884,0.214,0.3077,476.646,1000.071,2.02,2.78,0.07,0.008,"Sc"
23.2,8.887,0.214,0.3077,476.605,1000.071,2.02,2.77,0.07,0.009,"Sc"
23.3,8.887,0.214,0.3077,476.604,1000.071,2.02,2.81,0.07,0.008,"Sc"
23.4,8.885,0.214,0.3077,476.667,1000.072,2.03,2.78,0.07,0.008,"Sc"
23.5,8.886,0.214,0.3077,476.675,1000.072,2.04,2.77,0.08,0.009,"Sc"
23.6,8.883,0.214,0.3077,476.711,1000.073,2.2,3.58,0.07,0.008,"Sc"
23.7,8.886,0.214,0.3077,476.647,1000.073,2.11,3.21,0.06,0.007,"Sc"
23.8,8.882,0.214,0.3077,476.709,1000.074,2.06,2.94,0.07,0.008,"Sc"
23.9,8.883,0.214,0.3077,476.795,1000.074,2.06,2.82,0.06,0.007,"Sc"
24,8.885,0.214,0.3078,476.798,1000.075,2.05,2.8,0.06,0.007,"Sc"
24.1,8.886,0.214,0.3078,476.914,1000.075,2.04,2.73,0.07,0.008,"Sc"
24.2,8.887,0.214,0.3079,476.968,1000.076,2.06,2.74,0.08,0.009,"Sc"
24.3,8.886,0.214,0.3078,476.882,1000.076,2.05,2.73,0.08,0.009,"Sc"
24.4,8.875,0.214,0.3079,477.096,1000.078,2.03,2.71,0.08,0.009,"Sc"
24.5,8.876,0.214,0.308,477.248,1000.078,2.05,2.75,0.09,0.01,"Sc"
24.6,8.873,0.214,0.308,477.363,1000.079,2.09,2.78,0.08,0.009,"Sc"
24.7,8.871,0.214,0.3079,477.312,1000.079,2.05,2.73,0.08,0.009,"Sc"
24.8,8.868,0.215,0.3082,477.771,1000.08,2.05,2.68,0.09,0.01,"Sc"
24.9,8.867,0.214,0.308,477.442,1000.081,2.06,2.75,0.09,0.01,"Sc"
25,8.862,0.215,0.308,477.524,1000.081,2.06,2.75,0.1,0.011,"Sc"
25.1,8.854,0.215,0.308,477.636,1000.083,2.06,2.68,0.09,0.01,"Sc"
25.2,8.857,0.215,0.308,477.622,1000.083,2.05,2.74,0.08,0.01,"Sc"
25.3,8.856,0.215,0.3081,477.748,1000.083,2.04,2.64,0.08,0.009,"Sc"
25.4,8.851,0.215,0.3081,477.91,1000.084,2.01,2.59,0.08,0.009,"Sc"
25.5,8.843,0.215,0.3081,477.963,1000.085,2.04,2.64,0.08,0.009,"Sc"
25.6,8.845,0.215,0.3081,478.033,1000.086,2.02,2.6,0.08,0.009,"Sc"
25.7,8.845,0.215,0.3082,478.146,1000.086,2.06,2.57,0.08,0.01,"Sc"
25.8,8.845,0.215,0.3082,478.105,1000.087,2.05,2.57,0.08,0.009,"Sc"
25.9,8.841,0.215,0.308,477.951,1000.087,2.04,2.59,0.09,0.01,"Sc"
26,8.834,0.215,0.3078,477.626,1000.088,1.99,2.53,0.09,0.011,"Sc"
26.1,8.823,0.215,0.3079,477.997,1000.09,1.99,2.5,0.08,0.01,"Sc"
26.2,8.826,0.215,0.3079,477.947,1000.09,2.02,2.46,0.08,0.01,"Sc"
26.3,8.824,0.214,0.3074,477.272,1000.09,1.99,2.55,0.08,0.01,"Sc"
26.4,8.823,0.214,0.3076,477.531,1000.091,1.94,2.42,0.08,0.01,"Sc"
26.5,8.81,0.214,0.3074,477.491,1000.092,2.01,2.43,0.09,0.01,"Sc"
26.6,8.81,0.214,0.3074,477.52,1000.093,2.1,2.56,0.08,0.01,"Sc"
26.7,8.805,0.215,0.3075,477.768,1000.094,2.01,2.42,0.09,0.01,"Sc"
26.8,8.807,0.215,0.3077,477.927,1000.094,2.01,2.36,0.08,0.009,"Sc"
26.9,8.805,0.215,0.3076,477.806,1000.095,2.04,2.48,0.08,0.01,"Sc"
27,8.802,0.215,0.3076,477.837,1000.095,2.02,2.45,0.09,0.01,"Sc"
27.1,8.8,0.215,0.3077,478.052,1000.096,2.02,2.43,0.08,0.009,"Sc"
27.2,8.801,0.215,0.3078,478.181,1000.096,2.04,2.5,0.08,0.009,"Sc"
27.3,8.799,0.215,0.3078,478.268,1000.097,2.01,2.48,0.09,0.01,"Sc"
27.4,8.804,0.215,0.3077,477.985,1000.097,2.01,2.48,0.08,0.009,"Sc"
27.5,8.797,0.215,0.3077,478.078,1000.098,2.02,2.49,0.08,0.009,"Sc"
27.6,8.792,0.215,0.3075,477.968,1000.099,2.01,2.42,0.07,0.008,"Sc"
27.7,8.797,0.215,0.3075,477.891,1000.099,2.03,2.43,0.07,0.008,"Sc"
27.8,8.793,0.215,0.3075,477.845,1000.1,2.01,2.42,0.07,0.008,"Sc"
27.9,8.795,0.215,0.3076,478.032,1000.1,1.99,2.43,0.07,0.008,"Sc"
28,8.791,0.215,0.3076,478.156,1000.101,2.01,2.41,0.07,0.008,"Sc"
28.1,8.79,0.215,0.3075,477.946,1000.101,2.03,2.45,0.07,0.008,"Sc"
28.2,8.795,0.215,0.3076,477.994,1000.102,2.01,2.43,0.06,0.007,"Sc"
28.3,8.792,0.215,0.3075,477.917,1000.102,1.99,2.41,0.06,0.007,"Sc"
28.4,8.793,0.215,0.3076,478.068,1000.103,2.02,2.43,0.07,0.008,"Sc"
28.5,8.79,0.215,0.3076,478.156,1000.103,2.06,2.46,0.07,0.008,"Sc"
28.6,8.792,0.215,0.3077,478.167,1000.104,2.07,2.43,0.06,0.007,"Sc"
